csersavak[hy:cser|sav]
csigakerekek[hy:csiga|kerék]
csigavonalak[hy:csiga|vonal]
csigolyafüzek[hy:csigolya|fûz]
csincsillanyulak[hy:csincsilla|nyúl]
csiratehenek[hy:csira|tehén]
csirizestálak[hy:csirizes|tál]
csizmaszárak[hy:csizma|szár]
csonthéjak[hy:csont|héj]
csontvázak[hy:csont|váz]
csuklyásbaglyok[hy:csuklyás|bagoly]
csuromvizek[hy:csurom|víz]
csészealjak[hy:csésze|alj]
csípõvasak[hy:csípõ|vas]
csíralevelek[hy:csíra|levél]
csónakházak[hy:csónak|ház]
csõszházak[hy:csõsz|ház]
csúfnevek[hy:csúf|név]
cukorgyárak[hy:cukor|gyár]
cukornádak[hy:cukor|nád]
céklagyökerek[hy:cékla|gyökér]
címoldalak[hy:cím|oldal]
címtárak[hy:cím|tár]
cölöpgátak[hy:cölöp|gát]
darázsfészkek[hy:darázs|fészek]
derékaljak[hy:derék|alj]
derékszíjak[hy:derék|szíj]
derékvonalak[hy:derék|vonal]
desszertestálak[hy:desszertes|tál]
dicsvágyak[hy:dics|vágy]
diliházak[hy:dili|ház]
disznóférgek[hy:disznó|féreg]
dióhéjak[hy:dió|héj]
dodekánsavak[hy:dodekán|sav]
dologházak[hy:dolog|ház]
domboldalak[hy:domb|oldal]
drótférgek[hy:drót|féreg]
drótkapcsok[hy:drót|kapocs]
drótkötelek[hy:drót|kötél]
dunnaludak[hy:dunna|lúd]
duzzasztógátak[hy:duzzasztó|gát]
dámvadak[hy:dám|vad]
dárdanyelek[hy:dárda|nyél]
délvonalak[hy:dél|vonal]
dízelolajak[hy:dízel|olaj]
döntvénytárak[hy:döntvény|tár]
ebihalak[hy:ebi|hal]
egérlyukak[hy:egér|lyuk]
ekeszarvak[hy:eke|szarv]
ekevasak[hy:eke|vas]
elektroncsövek[hy:elektron|csõ]
ellenforradalmak[hy:ellen|forradalom]
ellenfelek[hy:ellen|fél]
ellenmérgek[hy:ellen|méreg]
ellenszelek[hy:ellen|szél]
elõadótermek[hy:elõ|adó||terem]
elõagyak[hy:elõ|agy]
elõhadak[hy:elõ|had]
elõnevek[hy:elõ|név]
elõszelek[hy:elõ|szél]
elõterek[hy:elõ|tér]
emléktárgyak[hy:emlék|tárgy]
enyvesfazekak[hy:enyves|fazék]
enyvesszegfüvek[hy:enyves||szeg|fû]
eozinmázak[hy:eozin|máz]
ernyõvázak[hy:ernyõ|váz]
erõterek[hy:erõ|tér]
esõvizek[hy:esõ|víz]
evezõnyelek[hy:evezõ|nyél]
evezõtollak[hy:evezõ|toll]
exportárak[hy:export|ár]
expresszlevelek[hy:expressz|levél]
ezüstlakodalmak[hy:ezüst|lakodalom]
fakérgek[hy:fa|kéreg]
falitükrök[hy:fali|tükör]
falkapcsok[hy:fal|kapocs]
falsarkak[hy:fal|sarok]
falábak[hy:fa|láb]
farkasfogak[hy:farkas|fog]
farkaskölykök[hy:farkas|kölyök]
farkasétvágyak[hy:farkasét|vágy]
farktollak[hy:fark|toll]
fegyvergyárak[hy:fegyver|gyár]
fegyvertermek[hy:fegyver|terem]
fehéraranyak[hy:fehér|arany]
fehérgyökerek[hy:fehér|gyökér]
fehérmájak[hy:fehér|máj]
fehérrezek[hy:fehér|réz]
fejõstehenek[hy:fejõs|tehén]
feketeforgalmak[hy:fekete|forgalom]
feketegyökerek[hy:fekete|gyökér]
feketejövedelmek[hy:fekete|jövedelem]
feketekereskedelmek[hy:fekete|kereskedelem]
feketeszenek[hy:fekete|szén]
felházak[hy:fel|ház]
fellegvárak[hy:felleg|vár]
felsõházak[hy:felsõ|ház]
felvonóhidak[hy:felvonó|híd]
fenõszíjak[hy:fenõ|szíj]
feszítõizmok[hy:feszítõ|izom]
feszítõvasak[hy:feszítõ|vas]
fiatornyok[hy:fia|torony]
finomolajak[hy:finom|olaj]
fogadótermek[hy:fogadó|terem]
fogaskerekek[hy:fogas|kerék]
fogházak[hy:fog|ház]
folytvasak[hy:folyt|vas]
folyómedrek[hy:folyó|meder]
almedrek[hy:al|meder]
folyóvizek[hy:folyó|víz]
forgattyúházak[hy:forgattyú|ház]
forgóhidak[hy:forgó|híd]
forgószelek[hy:forgó|szél]
forrasztócsövek[hy:forrasztó|csõ]
forrásvizek[hy:forrás|víz]
forrólázak[hy:forró|láz]
foszforossavak[hy:foszforos|sav]
futótüzek[hy:futó|tûz]
futóárkok[hy:futó|árok]
fuvardíjak[hy:fuvar|díj]
fuvarlevelek[hy:fuvar|levél]
fáskosarak[hy:fás|kosár]
félholdak[hy:fél|hold]
félselymek[hy:fél|selyem]
fémpoharak[hy:fém|pohár]
fémrudak[hy:fém|rúd]
fénymázak[hy:fény|máz]
fénysugarak[hy:fény|sugár]
fényárak[hy:fény|ár]
fõgyökerek[hy:fõ|gyökér]
fõhatalmak[hy:fõ|hatalom]
fõnevek[hy:fõ|név]
fõoltárak[hy:fõ|oltár]
fõterek[hy:fõ|tér]
fõuralmak[hy:fõ|uralom]
fõvonalak[hy:fõ|vonal]
földkérgek[hy:föld|kéreg]
fúrólyukak[hy:fúró|lyuk]
fúvócsövek[hy:fúvó|csõ]
fúvókaszájak[hy:fúvóka|száj]
fûrészfogak[hy:fûrész|fog]
fûrészhalak[hy:fûrész|hal]
fûrészmalmok[hy:fûrész|malom]
fûszálak[hy:fû|szál]
fûtõházak[hy:fûtõ|ház]
fûtõszálak[hy:fûtõ|szál]
függõágyak[hy:függõ|ágy]
függönyrudak[hy:függöny|rúd]
fülesbaglyok[hy:füles|bagoly]
fürdõkádak[hy:fürdõ|kád]
füstcsövek[hy:füst|csõ]
galandférgek[hy:galand|féreg]
garancialevelek[hy:garancia|levél]
ginszenggyökerek[hy:ginszeng|gyökér]
golyóstollak[hy:golyós|toll]
gomblyukak[hy:gomb|lyuk]
gubacsdarazsak[hy:gubacs|darázs]
gumitalpak[hy:gumi|talp]
gurítókerekek[hy:gurító|kerék]
gurítókötelek[hy:gurító|kötél]
gyakorlóterek[hy:gyakorló|tér]
gyaloghidak[hy:gyalog|híd]
gyaluvasak[hy:gyalu|vas]
gyapjúfonalak[hy:gyapjú|fonál]
gyermekágyak[hy:gyermek|ágy]
gyertyabelek[hy:gyertya|bél]
gyertyalábak[hy:gyertya|láb]
gyomorszájak[hy:gyomor|száj]
gyomortartalmak[hy:gyomor|tartalom]
gyomortükrök[hy:gyomor|tükör]
gyorsforgalmak[hy:gyors|forgalom]
gyorsszekerek[hy:gyors|szekér]
gyorsterhek[hy:gyors|teher]
gyorstárak[hy:gyors|tár]
gyorsvasutak[hy:gyors||vas|út]
gyorséttermek[hy:gyors||ét|terem]
gyászfátylak[hy:gyász|fátyol]
gyászleplek[hy:gyász|lepel]
gyógykenyerek[hy:gyógy|kenyér]
gyógyszertárak[hy:gyógy|szer|tár]
gyógyvizek[hy:gyógy|víz]
gyömbérgyökerek[hy:gyömbér|gyökér]
gyûjtõnevek[hy:gyûjtõ|név]
gyûrûscsapágyak[hy:gyûrûs||csap|ágy]
gyûrûsférgek[hy:gyûrûs|féreg]
gyûrûsujjak[hy:gyûrûs|ujj]
gyümölcscukrok[hy:gyümölcs|cukor]
gyümölcshéjak[hy:gyümölcs|héj]
gyümölcskenyerek[hy:gyümölcs|kenyér]
gyümölcsszárak[hy:gyümölcs|szár]
gázcsövek[hy:gáz|csõ]
gázlómadarak[hy:gázló|madár]
gázolajak[hy:gáz|olaj]
gégetükrök[hy:gége|tükör]
gémeskutak[hy:gémes|kút]
gépházak[hy:gép|ház]
gépszíjak[hy:gép|szíj]
géptermek[hy:gép|terem]
gólyalábak[hy:gólya|láb]
görögtüzek[hy:görög|tûz]
güzüegerek[hy:güzü|egér]
hadifoglyok[hy:hadi|fogoly]
hajfodrok[hy:haj|fodor]
hajszálak[hy:haj|szál]
hajtókerekek[hy:hajtó|kerék]
hajtórudak[hy:hajtó|rúd]
hajóférgek[hy:hajó|féreg]
hajógyárak[hy:hajó|gyár]
hajóhadak[hy:hajó|had]
hajóhidak[hy:hajó|híd]
hajókötelek[hy:hajó|kötél]
hallgatócsövek[hy:hallgató|csõ]
hallócsövek[hy:halló|csõ]
halottasházak[hy:halottas|ház]
hamvvedrek[hy:hamv|veder]
hangfalak[hy:hang|fal]
hangszálak[hy:hang|szál]
hangterjedelmek[hy:hang|terjedelem]
hantmadarak[hy:hant|madár]
hanyattegerek[hy:hanyatt|egér]
haranglábak[hy:harang|láb]
harangtornyok[hy:harang|torony]
harcvonalak[hy:harc|vonal]
harisnyaszárak[hy:harisnya|szár]
harmadfelek[hy:harmad|fél]
harántgátak[hy:haránt|gát]
harántizmok[hy:haránt|izom]
hatodfelek[hy:hatod|fél]
hattyúnyakak[hy:hattyú|nyak]
hattyútollak[hy:hattyú|toll]
határvonalak[hy:határ|vonal]
hatökrök[hy:hat|ökör]
havidíjak[hy:havi|díj]
hegyhátak[hy:hegy|hát]
hegynyergek[hy:hegy|nyereg]
hegyoldalak[hy:hegy|oldal]
helynevek[hy:hely|név]
helységnevek[hy:helység|név]
hernyóselymek[hy:hernyó|selyem]
hernyótalpak[hy:hernyó|talp]
hetedfelek[hy:heted|fél]
hidegházak[hy:hideg|ház]
hideglázak[hy:hideg|láz]
hidegtálak[hy:hideg|tál]
hitestársak[hy:hites|társ]
hittitkok[hy:hit|titok]
homokgödrök[hy:homok|gödör]
honfitársak[hy:honfi|társ]
honvágyak[hy:hon|vágy]
hordszárnyak[hy:hord|szárny]
hordágyak[hy:hord|ágy]
hullaházak[hy:hulla|ház]
hullámterek[hy:hullám|tér]
hullámvasutak[hy:hullám||vas|út]
hálótermek[hy:háló|terem]
háromlábak[hy:három|láb]
hátikosarak[hy:háti|kosár]
hátoldalak[hy:hát|oldal]
hátszelek[hy:hát|szél]
hátterek[hy:hát|tér]
házasfelek[hy:házas|fél]
házastársak[hy:házas|társ]
házfalak[hy:ház|fal]
házikenyerek[hy:házi|kenyér]
házivásznak[hy:házi|vászon]
házormok[hy:ház|orom]
hévizek[hy:hé|víz]
hímsólymok[hy:hím|sólyom]
hímzõszálak[hy:hímzõ|szál]
hírnevek[hy:hír|név]
hónaljak[hy:hón|alj]
hópelyhek[hy:hó|pehely]
hótalpak[hy:hó|talp]
húgycsövek[hy:húgy|csõ]
húslegyek[hy:hús|légy]
húsosfazekak[hy:húsos|fazék]
hûtõvizek[hy:hûtõ|víz]
hüvelykujjak[hy:hüvelyk|ujj]
idegenforgalmak[hy:idegen|forgalom]
igenevek[hy:ige|név]
igásbarmok[hy:igás|barom]
igásökrök[hy:igás|ökör]
illóolajak[hy:illó|olaj]
illósavak[hy:illó|sav]
imaházak[hy:ima|ház]
imaszíjak[hy:ima|szíj]
importárak[hy:import|ár]
ingnyakak[hy:ing|nyak]
ingujjak[hy:ing|ujj]
ingvállak[hy:ing|váll]
inozinsavak[hy:inozin|sav]
irányvonalak[hy:irány|vonal]
irányárak[hy:irány|ár]
iskolatársak[hy:iskola|társ]
ismerettárak[hy:ismeret|tár]
ivókutak[hy:ivó|kút]
ivópoharak[hy:ivó|pohár]
izomburkok[hy:izom|burok]
izomfájdalmak[hy:izom|fájdalom]
izzószálak[hy:izzó|szál]
jajszavak[hy:jaj|szó]
jegenyenyárak[hy:jegenye|nyár]
jelzõtüzek[hy:jelzõ|tûz]
jobboldalak[hy:jobb|oldal]
jobbszárnyak[hy:jobb|szárny]
juhaklok[hy:juh|akol]
juhnyájak[hy:juh|nyáj]
játszóterek[hy:játszó|tér]
játékterek[hy:játék|tér]
játékvasutak[hy:játék||vas|út]
jégmadarak[hy:jég|madár]
jómadarak[hy:jó|madár]
kabátlyukak[hy:kabát|lyuk]
kagylóhéjak[hy:kagyló|héj]
kamatlábak[hy:kamat|láb]
kamionforgalmak[hy:kamion|forgalom]
kandallósarkak[hy:kandalló|sarok]
kantárszárak[hy:kantár|szár]
kanálhorgok[hy:kanál|horog]
kanárimadarak[hy:kanári|madár]
kapcsolórudak[hy:kapcsoló|rúd]
kapcsolózárak[hy:kapcsoló|zár]
kapocsvasak[hy:kapocs|vas]
kaprinsavak[hy:kaprin|sav]
kapronsavak[hy:kapron|sav]
kapualjak[hy:kapu|alj]
karbolsavak[hy:karbol|sav]
karbonsavak[hy:karbon|sav]
kardhalak[hy:kard|hal]
karhatalmak[hy:kar|hatalom]
karizmok[hy:kar|izom]
karmazsinbogarak[hy:karmazsin|bogár]
karsztvizek[hy:karszt|víz]
kartonvásznak[hy:karton|vászon]
katicabogarak[hy:katica|bogár]
kavicságyak[hy:kavics|ágy]
kazánházak[hy:kazán|ház]
kecskelábak[hy:kecske|láb]
kecskeszakállak[hy:kecske|szakáll]
kefehajak[hy:kefe|haj]
kelléktárak[hy:kellék|tár]
kenderlevelek[hy:kender|levél]
kengyelszíjak[hy:kengyel|szíj]
kengyelvasak[hy:kengyel|vas]
kenyereskosarak[hy:kenyeres|kosár]
kenyérbelek[hy:kenyér|bél]
kenyérhéjak[hy:kenyér|héj]
kenyérkosarak[hy:kenyér|kosár]
kenõolajak[hy:kenõ|olaj]
kerecsensólymok[hy:kerecsen|sólyom]
keresetlevelek[hy:kereset|levél]
keresztelõkutak[hy:keresztelõ|kút]
keresztkutak[hy:kereszt|kút]
keresztrudak[hy:kereszt|rúd]
keresztvonalak[hy:kereszt|vonal]
kerékagyak[hy:kerék|agy]
keserûgyökerek[hy:keserû|gyökér]
keserûvizek[hy:keserû|víz]
kezelõhidak[hy:kezelõ|híd]
kifolyócsövek[hy:kifolyó|csõ]
kikötõgátak[hy:kikötõ|gát]
kikötõhidak[hy:kikötõ|híd]
kilencedfelek[hy:kilenced|fél]
kilincskerekek[hy:kilincs|kerék]
kincsesházak[hy:kincses|ház]
kincsestárak[hy:kincses|tár]
kincstárak[hy:kincs|tár]
